Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;Comments;
sw03-0304-fs238;A;B;;;no Colora-, not in Colorado;;;;;;da256: selfCorrection;;;;;
sw03-0304-fs239;A;B;;[ since I was in college, + since I went to school, ] -/;since I was in college, since I went to school,;;;;;;da257: selfCorrection;;;;;
sw03-0304-fs240;B;A;;What about Utah? /;What about Utah?;da258: setQuestion;;;;;;;;;;
sw03-0304-fs241;A;B;; Haven't been there,  /; Haven't been there;da259: answer (Fu: da258);;;;;;;;;;
sw03-0304-fs242;A;B;;I keep hearing these marvelous things --;I keep hearing these marvelous things about Dear Valley and City;da260: inform {Cause da258};;;;;;;;;;
sw03-0304-fs243;B;A;;Yeah,  /;Yeah;;da261: autoPositive (Fe: da260);;;;;;;;;
sw03-0304-fs244;B;A;;haven't either. /;haven't either;da262: inform {Similarity da259};;;;;;;;;;
sw03-0304-fs245;A;B;;about Deer Valley  and, - / --  ((   ))  City, -/;and,;;;;da263: turnKeep;;;;;;;
sw03-0304-fs246;A;B;; {F um, } <<speaks to child>> {A don't, Adam, }  <<resumes talking to B>> {F um } --;um,;;;;;da264: stalling;;;;;;
sw03-0304-fs247;A;B;;;um;;;;da265: turnKeep;da266: stalling;;;;;;
sw03-0304-fs248;B;A;;Always want to go to [ Canada + --  -- Canada ] to Banff or somewhere like that <laughter>. /;Always want to go to Canada to Banff or somewhere like that;da267: inform {Expansion da258};;;;;;;;;;
sw03-0304-fs249;A;B;;{F Ooh, } yes.  /;Ooh, yes;;da268: autoPositive (Fe: da267);;;;;;;;;
sw03-0304-fs250;A;B;;{C And } your kids all ski? /;And your kids all ski? ;da269: propositionalQuestion;;;;;;;;;;
sw03-0304-fs251;B;A;;{F Uh, } not all of them <laughter>. /;Uh,;;;;da270: turnTake;da271: stalling;;;;;;
sw03-0304-fs252;B;A;;;not all of them;da272: answer (Fu: da268);;;;;;;;;;
sw03-0304-fs253;A;B;;Uh-huh. /;Uh-huh;;da273: autoPositive (Fe: da272);;;;;;;;;
sw03-0304-fs254;B;A;;My kids are all grown.;My kids are all grown;da274: inform {Expansion da272};;;;;;;;;;
sw03-0304-fs255;B;A;;{C But } my youngest son is a skier. /;But my youngest son is a skier;da275: inform {Concession da272};;;;;;;;;;
sw03-0304-fs256;A;B;;Really,  /;Really;;da276: autoPositive (Fe: da275);;;;;;;;;
sw03-0304-fs257;A;B;;that's great.  /;that's great;;da277: autoPositive (Fe: da275);;;;;;;;;
sw03-0304-fs258;A;B;;{D Well, } my boys are at the point where they scare their mommy to death. /;Well,;;;;da278: turnKeep;da279: stalling;;;;;;
sw03-0304-fs259;A;B;;;my boys are at the point where they scare their mommy to death;da280: inform {Contrast da274};;;;;;;;;;
sw03-0304-fs260;B;A;;Uh-huh. /;Uh-huh;;da281: autoPositive (Fe: da280);;;;;;;;;
sw03-0304-fs261;A;B;;When they're skiing they're fearless,  /;When they're skiing they're fearless;da282: inform {Elaboration da280};;;;;;;;;;
