Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;other;Comments;
"fsp2TUMCV5;fsp2TIMCV3";p2;p1;;; mh ;;;;dap2TUM5: turnKeep;dap2TIM3: stalling;;;;;;;
fsp1AUFCV5;p1;p2;;alright alright and one more important thing and one more important thing i will only be female famous people uh ; alright ;;dap1AUF5: autoPositive (Fe:fsp1AUFFB5);;;;;;;;;;
fsp1DISCV3;p1;p2;;; alright and one more important thing ;;;;;;;;dap1DIS3: interactionStructuring;;;;
fsp1TSMCV18;p1;p2;;; and one more important thing ;;;;;;;;;;dap1TSM18:taskManagement:inform;;
fsp1TSMCV19;p1;p2;;; i will only be female famous people ;;;;;;;;;;dap1TSM19:taskManagement:inform;;
"fsp1TUMCV10;fsp1TIMCV8";p1;p2;;; uh ;;;;dap1TUM10: turnKeep;dap1TIM8: stalling;;;;;;;
fsp2AUFCV8;p2;p1;;ah okay ; ah okay ;;dap2AUF8: autoPositive (Fe:fsp2AUFFB8);;;;;;;;;;
fsp1ALFCV0;p1;p2;;mhm alright alright uh uh so let's start what is your first question ; mhm ;;;dap1ALF0: alloPositive (Fe:fsp1ALFFB0);;;;;;;;;
"fsp1AUFCV6;fsp1DISCV4";p1;p2;;; alright ;;dap1AUF6: autoPositive (Fe:fsp1AUFFB6);;;;;;dap1DIS4: interactionStructuring;;;;
fsp1TUMCV11;p1;p2;;; alright uh ;;;;dap1TUM11: turnKeep;;;;;;;;
fsp1TIMCV9;p1;p2;;; uh ;;;;;dap1TIM9: stalling;;;;;;;
fsp1DISCV5;p1;p2;;; so lets start ;;;;;;;;dap1DIS5: suggest;;;;
"fsp1TSKCV0;fsp1TSMCV20";p1;p2;;; what is your first question ;dap1TSK0: setQuestion;;;;;;;;;dap1TSM20:taskManagement:request;;
"fsp2TSKCV0;fsp2TSMCV6";p2;p1;;are you still alive ; are you still alive ;dap2TSK0: propositionalQuestion;;;;;;;;;dap2TSM6:taskManagement:addressRequest (Fu:dap1TSM20);;
fsp1TSKCV1;p1;p2;;no i am not ; no i am not ;dap1TSK1: propositionalAnswer (Fu:dap2TSK0);;;;;;;;;;;
"fsp2AUFCV9;fsp2TUMCV6";p2;p1;;mhm uhm ; mhm ;;dap2AUF9: autoPositive (Fe:fsp2AUFFB9);;dap2TUM6: turnTake;;;;;;;;
"fsp2TUMCV7;fsp2TIMCV4";p2;p1;;; uhm ;;;;dap2TUM7: turnKeep;dap2TIM4: stalling;;;;;;;
"fsp1TUMCV12;fsp1TIMCV10";p1;p2;;uh ; uh ;;;;dap1TUM12: turnTake;dap1TIM10: stalling;;;;;;;
fsp2TSKCV1;p2;p1;;are you from germany ; are you from germany ;dap2TSK1: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV2;p1;p2;;no i am not from germany ; no i am not from germany ;dap1TSK2: propositionalAnswer (Fu:dap2TSK1);;;;;;;;;;;
"fsp2TUMCV8;fsp2TIMCV5";p2;p1;;uhm are you from america ; uhm ;;;;dap2TUM8: turnTake;dap2TIM5: stalling;;;;;;;
fsp2TSKCV2;p2;p1;;; are you from america ;dap2TSK2: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV3;p1;p2;;no i am not from america ; no i am not from america ;dap1TSK3: propositionalAnswer (Fu:dap2TSK2);;;;;;;;;;;
"fsp2TUMCV9;fsp2TIMCV6";p2;p1;;uh what were you doing when you were alive ; uh ;;;;dap2TUM9: turnTake;dap2TIM6: stalling;;;;;;;
fsp2TSKCV3;p2;p1;;; what were you doing when you were alive ;dap2TSK3: setQuestion;;;;;;;;;;;
"fsp1TUMCV13;fsp1TIMCV11";p1;p2;;ehm let me think for a minute uhm i was i was a princess i was when i was alive ; ehm ;;;;dap1TUM13: turnTake;dap1TIM11: stalling;;;;;;;
fsp1TIMCV12;p1;p2;;; let me think for a minute ;;;;;dap1TIM12: pausing;;;;;;;
"fsp1TUMCV14;fsp1TIMCV13";p1;p2;;; uhm ;;;;dap1TUM14: turnKeep;dap1TIM13: stalling;;;;;;;
fsp1TSKCV4;p1;p2;;; i was ;dap1TSK4: setAnswer;;;;;;;;;;;
fsp1TSKCV5;p1;p2;;; i was a princess ;dap1TSK5: setAnswer (Fu:dap2TSK3);;;;;;;;;;;
fsp1OCMCV3;p1;p2;;; i was ;;;;;;dap1OCM3: selfCorrection (Fu:dap1281);;;;;;
fsp1TSKCV6;p1;p2;;; when i was alive ;dap1TSK6: setAnswer (Fu:dap1TSK5) {elaboration da};;;;;;;;;;;
fsp2TSKCV4;p2;p1;;and where are you from ; and where are you from ;dap2TSK4: setQuestion;;;;;;;;;;;
fsp1TSKCV7;p1;p2;;i am from england ; i am from england ;dap1TSK7: setAnswer (Fu:dap2TSK4);;;;;;;;;;;
fsp2AUFCV10;p2;p1;;okay uhm uh where did you die ; okay ;;dap2AUF10: autoPositive (Fe:fsp2AUFFB10);;;;;;;;;;
"fsp2TUMCV10;fsp2TIMCV7";p2;p1;;; uhm ;;;;dap2TUM10: turnKeep;dap2TIM7: stalling;;;;;;;
"fsp2TUMCV11;fsp2TIMCV8";p2;p1;;; uh ;;;;dap2TUM11: turnKeep;dap2TIM8: stalling;;;;;;;
fsp2TSKCV5;p2;p1;;; where did you die ;dap2TSK5: setQuestion;;;;;;;;;;;
"fsp1TUMCV15;fsp1TIMCV14";p1;p2;;just a second uhm i died in paris ; just a second ;;;;dap1TUM15: turnKeep;dap1TIM14: pausing;;;;;;;
"fsp1TUMCV16;fsp1TIMCV15";p1;p2;;; uhm ;;;;dap1TUM16: turnKeep;dap1TIM15: stalling;;;;;;;
fsp1TSKCV8;p1;p2;;; i died in paris ;dap1TSK8: setAnswer (Fu:dap2TSK5);;;;;;;;;;;
fsp2AUFCV11;p2;p1;;mhm uhm uhm you are princess diana uh ; mhm ;;dap2AUF11: autoPositive (Fe:fsp2AUFFB11);;;;;;;;;;
"fsp2TUMCV12;fsp2TIMCV9";p2;p1;;; uhm ;;;;dap2TUM12: turnKeep;dap2TIM9: stalling;;;;;;;
"fsp2TUMCV13;fsp2TIMCV10";p2;p1;;; uhm ;;;;dap2TUM13: turnKeep;dap2TIM10: stalling;;;;;;;
fsp2TSKCV6;p2;p1;;; you are princess diana ;dap2TSK6: guess;;;;;;;;;;;
"fsp2TUMCV14;fsp2TIMCV11";p2;p1;;; uh ;;;;dap2TUM14: turnKeep;dap2TIM11: stalling;;;;;;;
fsp1TSKCV9;p1;p2;;yes that is the correct answer good job ; yes ;dap1TSK9: confirm (Fu:dap2TSK6);;;;;;;;;;;
fsp1TSKCV10;p1;p2;;; that is the correct answer ;dap1TSK10: inform {elaboration dap1TSK9};;;;;;;;;;;
"fsp1ALFCV1;fsp1DISCV6;fsp1SOMCV4";p1;p2;;; good job ;;;dap1ALF1: alloPositive (Fe:fsp1ALFFB1);;;;;dap1DIS6: closing;dap1SOM4: congratulation;;;
"fsp2AUFCV12;fsp2DISCV1";p2;p1;;okay ; okay ;;dap2AUF12: autoPositive (Fe:fsp2AUFFB12);;;;;;dap2DIS1: closing;;;;"fsp1DISCV0;fsp1SOMCV0;fsp1CTMCV0";p1;p2;;hello again ; hello again ;;;;;;;;dap1DIS0: opening;dap1SOM0: initGreeting;dap1CTM0:contactManagement:contactIndication;;
"fsp2DISCV0;fsp2SOMCV0;fsp2CTMCV0";p2;p1;;hello ; hello ;;;;;;;;dap2DIS0: opening (Fu:dap1DIS0);dap2SOM0: returnGreeting (Fu:dap1SOM0);dap2CTM0:contactManagement:contactIndication;;
fsp1DISCV1;p1;p2;;ready to start with the next round ; ready to start with the next round ;;;;;;;;dap1DIS1: checkQuestion;;;;
fsp2DISCV1;p2;p1;;mhm ; mhm ;;;;;;;;dap2DIS1: confirm (Fu:dap1DIS1);;;;
"fsp1AUFCV0;fsp1ALFCV0";p1;p2;;alright do you still remember all of the rules ; alright ;;dap1AUF0: autoPositive (Fe:fsp1AUFFB0);dap1ALF0: alloPositive (Fe:fsp1ALFFB0);;;;;;;;;
fsp1TSMCV0;p1;p2;;; do you still remember all of the rules ;;;;;;;;;;dap1TSM0:taskManagement:propositionalQuestion;;
fsp2TSMCV0;p2;p1;;yes ; yes ;;;;;;;;;;dap2TSM0:taskManagement:propositionalAnswer (Fu:dap1TSM0);;
"fsp1AUFCV1;fsp1ALFCV1";p1;p2;;great alright uhm let's get started then what is your first question ; great ;;dap1AUF1: autoPositive (Fe:fsp1AUFFB1);dap1ALF1: alloPositive (Fe:fsp1ALFFB1);;;;;;;;;
fsp1DISCV2;p1;p2;;; alright ;;;;;;;;dap1DIS2: interactionStructuring;;;;
"fsp1TUMCV0;fsp1TIMCV0";p1;p2;;; uhm ;;;;dap1TUM0: turnKeep;dap1TIM0: stalling;;;;;;;
fsp1DISCV3;p1;p2;;; lets get started then ;;;;;;;;dap1DIS3: suggest;;;;
"fsp1TSKCV0;fsp1TSMCV1";p1;p2;;; what is your first question ;dap1TSK0: setQuestion;;;;;;;;;dap1TSM1:taskManagement:request;;
"fsp2TUMCV0;fsp2TIMCV0";p2;p1;;uh uhm uhm what is your mother tongue uh uh ; uh ;;;;dap2TUM0: turnAccept;dap2TIM0: stalling;;;;;;;
"fsp2TUMCV1;fsp2TIMCV1";p2;p1;;; uhm ;;;;dap2TUM1: turnKeep;dap2TIM1: stalling;;;;;;;
"fsp2TUMCV2;fsp2TIMCV2";p2;p1;;; uhm ;;;;dap2TUM2: turnKeep;dap2TIM2: stalling;;;;;;;
"fsp2TSKCV0;fsp2TSMCV1";p2;p1;;; what is your mother tongue ;dap2TSK0: setQuestion;;;;;;;;;dap2TSM1:taskManagement:addressRequest (Fu:dap1TSM1);;
"fsp2TUMCV3;fsp2TIMCV3";p2;p1;;; uh ;;;;dap2TUM3: turnKeep;dap2TIM3: stalling;;;;;;;
"fsp2TUMCV4;fsp2TIMCV4";p2;p1;;; uh ;;;;dap2TUM4: turnKeep;dap2TIM4: stalling;;;;;;;
fsp1TSKCV1;p1;p2;;my mother tongue is english ; my mother tongue is english ;dap1TSK1: setAnswer (Fu:dap2TSK0);;;;;;;;;;;
"fsp2TUMCV5;fsp2TIMCV5";p2;p1;;uhm where are you from ; uhm ;;;;dap2TUM5: turnTake;dap2TIM5: stalling;;;;;;;
fsp2TSKCV1;p2;p1;;; where are you from ;dap2TSK1: setQuestion;;;;;;;;;;;
fsp1TSKCV2;p1;p2;;i am from the united states ; i am from the united states ;dap1TSK2: setAnswer (Fu:dap2TSK1);;;;;;;;;;;
fsp2TSKCV2;p2;p1;;and you're still alive and ; and youre still alive ;dap2TSK2: propositionalQuestion;;;;;;;;;;;
"fsp2TUMCV6;fsp2TIMCV6";p2;p1;;; and ;;;;dap2TUM6: turnTake;dap2TIM6: stalling;;;;;;;
fsp1TSKCV3;p1;p2;;yes i am still alive ; yes i am still alive ;dap1TSK3: propositionalAnswer (Fu:dap2TSK2);;;;;;;;;;;
fsp2TSKCV3;p2;p1;;and how old are you and ; and how old are you ;dap2TSK3: setQuestion;;;;;;;;;;;
"fsp2TUMCV7;fsp2TIMCV7";p2;p1;;; and ;;;;dap2TUM7: turnTake;dap2TIM7: stalling;;;;;;;
fsp1TSKCV4;p1;p2;;i am thirty three thirty thirty three years old ; i am thirty three ;dap1TSK4: setAnswer (Fu:dap2TSK3);;;;;;;;;;;
fsp1OCMCV0;p1;p2;;; thirty ;;;;;;dap1OCM0: selfCorrection (Fe:fsp1OCMFB0);;;;;;
fsp1TSKCV5;p1;p2;;; thirty three years old ;dap1TSK5: setAnswer (Fu:dap2TSK3) {elaboration dap1TSK4};;;;;;;;;;;
fsp2AUFCV0;p2;p1;;yeah uhm and what are you doing and ; yeah ;;dap2AUF0: autoPositive (Fe:fsp2AUFFB0);;;;;;;;;;
"fsp2TUMCV8;fsp2TIMCV8";p2;p1;;; uhm ;;;;dap2TUM8: turnKeep;dap2TIM8: stalling;;;;;;;
fsp2TSKCV4;p2;p1;;; and what are you doing ;dap2TSK4: setQuestion;;;;;;;;;;;
"fsp2TUMCV9;fsp2TIMCV9";p2;p1;;; and ;;;;dap2TUM9: turnTake;dap2TIM9: stalling;;;;;;;
fsp1TSKCV6;p1;p2;;i am a professional tennis player ; i am a professional tennis player ;dap1TSK6: setAnswer (Fu:dap2TSK4);;;;;;;;;;;
"fsp2AUFCV1;fsp2TUMCV10";p2;p1;;okay does your first name start s with an with an ; okay ;;dap2AUF1: autoPositive (Fe:fsp2AUFFB1);;dap2TUM10: turnTake;;;;;;;;
fsp2TSKCV5;p2;p1;;; does your first name start with an s ;dap2TSK5: propositionalQuestion;;;;;;;;;;;
fsp2OCMCV0;p2;p1;;; with an ;;;;;;dap2OCM0: selfCorrection (Fe:fsp2OCMFB0);;;;;;
fsp1AUFCV2;p1;p2;;i'm not sure if i can answer that question no i can't answer that question ; im not sure if i can answer that question ;;dap1AUF2: inform [certain] (Fe:fsp1AUFFB2);;;;;;;;;;
"fsp1TSKCV7;fsp1AUFCV3";p1;p2;;; no i cant answer that question ;dap1TSK7: answer (Fu:dap2TSK5);dap1AUF3: inform [uncertain] (Fe:fsp1AUFFB3) {elaboration dap1AUF2};;;;;;;;;;
fsp2AUFCV2;p2;p1;;okay uhm mmh uh are you successful in tennis uh ; okay ;;dap2AUF2: autoPositive (Fe:fsp2AUFFB2);;;;;;;;;;
"fsp2TUMCV11;fsp2TIMCV10";p2;p1;;; uhm ;;;;dap2TUM11: turnKeep;dap2TIM10: stalling;;;;;;;
"fsp2TUMCV12;fsp2TIMCV11";p2;p1;;; mmh ;;;;dap2TUM12: turnKeep;dap2TIM11: stalling;;;;;;;
"fsp2TUMCV13;fsp2TIMCV12";p2;p1;;; uh ;;;;dap2TUM13: turnKeep;dap2TIM12: stalling;;;;;;;
fsp2TSKCV6;p2;p1;;; are you successful in tennis ;dap2TSK6: propositionalQuestion;;;;;;;;;;;
"fsp2TUMCV14;fsp2TIMCV13";p2;p1;;; uh ;;;;dap2TUM14: turnKeep;dap2TIM13: stalling;;;;;;;
fsp1TSKCV8;p1;p2;;yes I am very successful ; yes I am very successful ;dap1TSK8: propositionalAnswer (Fu:dap2TSK6);;;;;;;;;;;
fsp2TSKCV7;p2;p1;;are you serena williams ; are you serena williams ;dap2TSK7: guess;;;;;;;;;;;
fsp1TSKCV9;p1;p2;;no very close but that is not the correct answer i'm venus williams ; no ;dap1TSK9: disconfirm (Fu:dap2TSK7);;;;;;;;;;;
"fsp1TSKCV10;fsp1ALFCV2";p1;p2;;; very close ;dap1TSK10: inform;;dap1ALF2: alloPositive (Fe:fsp1ALFFB2);;;;;;;;;
fsp1TSKCV11;p1;p2;;; but that is not the correct answer ;dap1TSK11: inform {contrast dap1TSK10};;;;;;;;;;;
fsp1TSKCV12;p1;p2;;; im venus williams ;dap1TSK12: inform;;;;;;;;;;;
fsp2AUFCV3;p2;p1;;ah okay ; ah okay ;;dap2AUF3: autoPositive (Fe:fsp2AUFFB3);;;;;;;;;;
fsp1ALFCV3;p1;p2;;very close though very good try ; very close though ;;;dap1ALF3: alloPositive (Fe:fsp1ALFFB3);;;;;;;;;
fsp1SOMCV1;p1;p2;;; very good try ;;;;;;;;;dap1SOM1: congratulation;;;
fsp2AUFCV4;p2;p1;;okay thank you ; okay ;;dap2AUF4: autoPositive (Fe:fsp2AUFFB4);;;;;;;;;;
fsp2SOMCV1;p2;p1;;; thank you ;;;;;;;;;dap2SOM1: thanking (Fu:dap1SOM1);;;
"fsp1AUFCV4;fsp1DISCV4";p1;p2;;alright ; alright ;;dap1AUF4: autoPositive (Fe:fsp1AUFFB4);;;;;;dap1DIS4: closing;;;;"fsp1DISCV0;fsp1SOMCV0;fsp1CTMCV0";p1;p2;;hello again ; hello again ;;;;;;;;dap1DIS0: opening;dap1SOM0: initGreeting;dap1CTM0:contactManagement:contactIndication;;
"fsp2DISCV0;fsp2SOMCV0;fsp2CTMCV0";p2;p1;;hello ; hello ;;;;;;;;dap2DIS0: opening (Fu:dap1DIS0);dap2SOM0: returnGreeting (Fu:dap1SOM0);dap2CTM0:contactManagement:contactIndication (Fu:dap1CTM0);;
fsp1TSMCV0;p1;p2;;let's start on the next round ; lets start on the next round ;;;;;;;;;;dap1TSM0:taskManagement:suggest;;
fsp2TSMCV0;p2;p1;;yeah ; yeah ;;;;;;;;;;dap2TSM0:taskManagement:acceptSuggest (Fu:dap1TSM0);;
fsp1TSMCV1;p1;p2;;so do you remember all of the rules ; so do you remember all of the rules ;;;;;;;;;;dap1TSM1:taskManagement:propositionalQuestion;;
fsp2TSMCV1;p2;p1;;yes i think so ; yes i think so ;;;;;;;;;;dap2TSM1:taskManagement:propositionalAnswer [uncertain] (Fu:dap1TSM1);;
fsp1ALFCV0;p1;p2;;great alright so let's get started what is your first question ; great ;;;dap1ALF0: alloPositive (Fe:fsp1ALFFB0);;;;;;;;;
fsp1DISCV1;p1;p2;;; alright so ;;;;;;;;dap1DIS1: interactionStructuring;;;;
fsp1TSMCV2;p1;p2;;; lets get started ;;;;;;;;;;dap1TSM2:taskManagement:suggest;;
"fsp1TSKCV0;fsp1TSMCV3";p1;p2;;; what is your first question ;dap1TSK0: setQuestion;;;;;;;;;dap1TSM3:taskManagement:request;;
"fsp2AUFCV0;fsp2TUMCV0";p2;p1;;mh what are your initials ; mh ;;dap2AUF0: autoPositive (Fe:fsp2AUFFB0);;dap2TUM0: turnAccept;;;;;;;;
"fsp2TSKCV0;fsp2TSMCV2";p2;p1;;; what are your initials ;dap2TSK0: setQuestion;;;;;;;;;dap2TSM2:taskManagement:acceptRequest (Fu:dap1TSM3);;
fsp1AUFCV0;p1;p2;;i can not answer that question ; i can not answer that question ;;dap1AUF0: inform (Fe:fsp1AUFFB0);;;;;;;;;;
fsp2AUFCV1;p2;p1;;okay are you a real person ; okay ;;dap2AUF1: autoPositive (Fe:fsp2AUFFB1);;;;;;;;;;
fsp2TSKCV1;p2;p1;;; are you a real person ;dap2TSK1: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV1;p1;p2;;yes i am a real person ; yes i am a real person ;dap1TSK1: propositionalAnswer (Fu:dap2TSK1);;;;;;;;;;;
"fsp2TUMCV1;fsp2TIMCV0";p2;p1;;uhm are you dead ; uhm ;;;;dap2TUM1: turnTake;dap2TIM0: stalling;;;;;;;
fsp2TSKCV2;p2;p1;;; are you dead ;dap2TSK2: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV2;p1;p2;;no i am still alive ; no i am still alive ;dap1TSK2: propositionalAnswer (Fu:dap2TSK2);;;;;;;;;;;
"fsp2AUFCV2;fsp2TUMCV2;fsp2TIMCV1";p2;p1;;mh where are you from ; mh ;;dap2AUF2: autoPositive (Fe:fsp2AUFFB2);;dap2TUM2: turnTake;dap2TIM1: stalling;;;;;;;
fsp2TSKCV3;p2;p1;;; where are you from ;dap2TSK3: setQuestion;;;;;;;;;;;
fsp1TSKCV3;p1;p2;;i am from barbados ; i am from barbados ;dap1TSK3: setAnswer (Fu:dap2TSK3);;;;;;;;;;;
"fsp2AUFCV3;fsp2TUMCV3;fsp2TIMCV2";p2;p1;;mh are you a musician ; mh ;;dap2AUF3: autoPositive (Fe:fsp2AUFFB3);;dap2TUM3: turnTake;dap2TIM2: stalling;;;;;;;
fsp2TSKCV4;p2;p1;;; are you a musician ;dap2TSK4: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV4;p1;p2;;yes i am a musician ; yes i am a musician ;dap1TSK4: propositionalAnswer (Fu:dap2TSK4);;;;;;;;;;;
"fsp2AUFCV4;fsp2TUMCV4;fsp2TIMCV3";p2;p1;;mh are you rihanna ; mh ;;dap2AUF4: autoPositive (Fe:fsp2AUFFB4);;dap2TUM4: turnTake;dap2TIM3: stalling;;;;;;;
fsp2TSKCV5;p2;p1;;; are you rihanna ;dap2TSK5: guess;;;;;;;;;;;
fsp1TSKCV5;p1;p2;;yes that is correct i am rihanna very good job ; yes that is correct i am rihanna ;dap1TSK5: confirm (Fu:dap2TSK5);;;;;;;;;;;
"fsp1ALFCV1;fsp1DISCV2;fsp1SOMCV1";p1;p2;;; very good job ;;;dap1ALF1: alloPositive (Fe:fsp1ALFFB1);;;;;dap1DIS2: closing;dap1SOM1: congratulation;;;
"fsp1TUMCV0;fsp1CTMCV0";p1;p2;;alright alright hello again hello again ; alright ;;;;dap1TUM0: turnTake;;;;;;dap1CTM0:contactManagement:contactIndication;;
fsp1DISCV0;p1;p2;;; alright hello again ;;;;;;;;dap1DIS0: opening;;;;
fsp1SOMCV0;p1;p2;;; hello again ;;;;;;;;;dap1SOM0: initGreeting;;;
"fsp2DISCV0;fsp2SOMCV0;fsp2CTMCV0";p2;p1;;hello ; hello ;;;;;;;;dap2DIS0: opening (Fu:dap1DIS0);dap2SOM0: returnGreeting (Fu:dap1SOM0);dap2CTM0:contactManagement:contactIndication;;
fsp1TSMCV0;p1;p2;;are you ready to continue ; are you ready to continue ;;;;;;;;;;dap1TSM0:taskManagement:propositionalQuestion;;
fsp2TSMCV0;p2;p1;;yes i am ; yes i am ;;;;;;;;;;dap2TSM0:taskManagement:propositionalAnswer (Fu:dap1TSM0);;
"fsp1AUFCV0;fsp1ALFCV0";p1;p2;;great uh do you remember all of the rules or do you have any questions ; great ;;dap1AUF0: autoPositive (Fe:fsp1AUFFB0);dap1ALF0: alloPositive (Fe:fsp1ALFFB0);;;;;;;;;
"fsp1TUMCV1;fsp1TIMCV0";p1;p2;;; uh ;;;;dap1TUM1: turnKeep;dap1TIM0: stalling;;;;;;;
fsp1TSMCV1;p1;p2;;; do you remember all of the rules or do you have any questions ;;;;;;;;;;dap1TSM1:taskManagement:choiceQuestion;;
"fsp2TUMCV0;fsp2TIMCV0";p2;p1;;uh yes and no to the other question ; uh ;;;;dap2TUM0: turnAccept;dap2TIM0: stalling;;;;;;;
fsp2TSMCV1;p2;p1;;; yes and no to the other question ;;;;;;;;;;dap2TSM1:taskManagement:setAnswer (Fu:dap1TSM1);;
"fsp1AUFCV1;fsp1ALFCV1";p1;p2;;okay so you know all of the rules ; okay ;;dap1AUF1: autoPositive (Fe:fsp1AUFFB1);dap1ALF1: alloPositive (Fe:fsp1ALFFB1);;;;;;;;;
fsp1AUFCV2;p1;p2;;; so you know all of the rules ;;dap1AUF2: checkQuestion (Fe:fsp1AUFFB2);;;;;;;;;;
fsp2ALFCV0;p2;p1;;yes i do ; yes i do ;;;dap2ALF0: confirm (Fu:dap1AUF2);;;;;;;;;
"fsp1AUFCV3;fsp1ALFCV2";p1;p2;;great alright let's go ahead and get started then what is your first question ; great ;;dap1AUF3: autoPositive (Fe:fsp1AUFFB3);dap1ALF2: alloPositive (Fe:fsp1ALFFB2);;;;;;;;;
fsp1TUMCV2;p1;p2;;; alright ;;;;dap1TUM2: turnKeep;;;;;;;;
fsp1TSMCV2;p1;p2;;; lets go ahead and get started then ;;;;;;;;;;dap1TSM2:taskManagement:suggest;;
"fsp1TSKCV0;fsp1TSMCV3";p1;p2;;; what is your first question ;dap1TSK0: setQuestion;;;;;;;;;dap1TSM3:taskManagement:request;;
"fsp2TUMCV1;fsp2TIMCV1";p2;p1;;uh what are you famous for ; uh ;;;;dap2TUM1: turnAccept;dap2TIM1: stalling;;;;;;;
"fsp2TSKCV0;fsp2TSMCV2";p2;p1;;; what are you famous for ;dap2TSK0: setQuestion (Fu:dap1TSK0);;;;;;;;;dap2TSM2:taskManagement:acceptRequest (Fu:dap1TSM3);;
"fsp1TUMCV3;fsp1TIMCV1";p1;p2;;uhm i am famous for being one of the wealthiest and most powerful women in western europe during the middle ages ; uhm ;;;;dap1TUM3: turnAccept;dap1TIM1: stalling;;;;;;;
fsp1TSKCV1;p1;p2;;; i am famous for being one of the wealthiest and most powerful women in western europe during the middle ages ;dap1TSK1: setAnswer (Fu:dap2TSK0);;;;;;;;;;;
fsp2AUFCV0;p2;p1;;$LAUGH are you part of the royalty or were you part of the royalty rather ; $LAUGH ;;dap2AUF0: autoPositive (Fe:fsp2AUFFB0);;;;;;;;;;
fsp2TSKCV1;p2;p1;;; are you part of the royalty or were you part of the royalty rather ;dap2TSK1: choiceQuestion;;;;;;;;;;;
fsp1TSKCV2;p1;p2;;yes i was ; yes i was ;dap1TSK2: answer (Fu:dap2TSK1);;;;;;;;;;;
fsp2TSKCV2;p2;p1;;which country $UNINTELLIGIBLE yeah ; which country $UNINTELLIGIBLE ;dap2TSK2: setQuestion;;;;;;;;;;;
fsp2TIMCV2;p2;p1;;; yeah ;;;;;dap2TIM2: pausing;;;;;;;
"fsp1TUMCV4;fsp1TIMCV2";p1;p2;;uh france ; uh ;;;;dap1TUM4: turnAccept;dap1TIM2: stalling;;;;;;;
fsp1TSKCV3;p1;p2;;; france ;dap1TSK3: setAnswer (Fu:dap2TSK2);;;;;;;;;;;
fsp2AUFCV1;p2;p1;;france uh okay do I know any French which during which years exactly did you reign ; france ;;dap2AUF1: autoPositive (Fe:fsp2AUFFB1);;;;;;;;;;
"fsp2TUMCV2;fsp2TIMCV3";p2;p1;;; uh ;;;;dap2TUM2: turnKeep;dap2TIM3: stalling;;;;;;;
"fsp2AUFCV2;fsp2TUMCV3";p2;p1;;; okay ;;dap2AUF2: autoPositive (Fe:fsp2AUFFB2);;dap2TUM3: turnKeep;;;;;;;;
fsp2AUFCV3;p2;p1;;; do I know any French which ;;dap2AUF3: autoPositive (Fe:fsp2AUFFB3);;;;;;;;;;
fsp2TSKCV3;p2;p1;;; during which years exactly did you reign ;dap2TSK3: setQuestion;;;;;;;;;;;
"fsp1TUMCV5;fsp1TIMCV3";p1;p2;;uhm could you clarify ; uhm ;;;;dap1TUM5: turnAccept;dap1TIM3: stalling;;;;;;;
fsp1AUFCV4;p1;p2;;; could you clarify ;;dap1AUF4: autoNegative (Fe:fsp1AUFFB4);;;;;;;;;;
fsp2ALFCV1;p2;p1;;okay uh while you were at the peak of your power which position did you occupy in the country uh which position ; okay ;;;dap2ALF1: acceptRequest (Fu:dap1AUF4);;;;;;;;;
"fsp2TUMCV4;fsp2TIMCV4";p2;p1;;; uh ;;;;dap2TUM4: turnKeep;dap2TIM4: stalling;;;;;;;
fsp2TSKCV4;p2;p1;;; while you were at the peak of your power which position did you occupy in the country ;dap2TSK4: setQuestion;;;;;;;;;;;
"fsp2TUMCV5;fsp2TIMCV5";p2;p1;;; uh ;;;;dap2TUM5: turnKeep;dap2TIM5: stalling;;;;;;;
fsp2OCMCV0;p2;p1;;; which position ;;;;;;dap2OCM0: selfCorrection (Fe:fsp2OCMFB0);;;;;;
"fsp1TUMCV6;fsp1TIMCV4";p1;p2;;uhm i was the queen consort of france and later the queen consort of england ; uhm ;;;;dap1TUM6: turnAccept;dap1TIM4: stalling;;;;;;;
fsp1TSKCV4;p1;p2;;; i was the queen consort of france and later the queen consort of england ;dap1TSK4: setAnswer (Fu:dap2TSK4);;;;;;;;;;;
"fsp2AUFCV4;fsp2TUMCV6";p2;p1;;okay and during which year were you the queen consort of england uhm years ; okay ;;dap2AUF4: autoPositive (Fe:fsp2AUFFB4);;dap2TUM6: turnTake;;;;;;;;
fsp2TSKCV5;p2;p1;;; and during which year were you the queen consort of england ;dap2TSK5: setQuestion;;;;;;;;;;;
"fsp2TUMCV7;fsp2TIMCV6";p2;p1;;; uhm ;;;;dap2TUM7: turnKeep;dap2TIM6: stalling;;;;;;;
fsp2OCMCV1;p2;p1;;; years ;;;;;;dap2OCM1: selfCorrection (Fe:fsp2OCMFB1);;;;;;
fsp1TSKCV5;p1;p2;;from eleven fifty four to eleven eighty nine ; from eleven fifty four to eleven eighty nine ;dap1TSK5: setAnswer (Fu:dap2TSK5);;;;;;;;;;;
